Inflectional word	Root word
আঁকে	আঁকা
এঁকেছে	আঁকা
এঁকে	আঁকা
আগায়	আগানো
আগিয়েছে	আগানো
আগায়	আগানো
আসে	আসা
এসেছে	আসা
এসে	আসা
ওঠে	ওঠা
উঠেছে	ওঠা
উঠে	ওঠা
করে	করা
করেছে	করা
করে	করা
করায়	করানো
করিয়েছে	করানো
করায়	করানো
কাটে	কাটা
কেটেছে	কাটা
কেটে	কাটা
কামড়ায়	কামড়ানো
কামড়িয়েছে	কামড়ানো
কামড়ায়	কামড়ানো
কাশে	কাশা
কেশেছে	কাশা
কেশে	কাশা
কেনে	কেনা
কিনেছে	কেনা
কিনে	কেনা
কেনায়	কেনানো
কিনিয়েছে	কেনানো
কেনায়	কেনানো
খায়	খাওয়া
খেয়েছে	খাওয়া
খেয়ে	খাওয়া
খাওয়ায়	খাওয়ানো
খাইয়েছে	খাওয়ানো
খাওয়ায়	খাওয়ানো
খেলে	খেলা
খেলেছে	খেলা
খেলে	খেলা
খোঁজে	খোঁজা
খুঁজেছে	খোঁজা
খুঁজে	খোঁজা
খোলে	খোলা
খুলেছে	খোলা
খুলে	খোলা
গায়	গাওয়া
গেয়েছে	গাওয়া
গেয়ে	গাওয়া
গেলে	গেলা
গিলেছে	গেলা
গিলে	গেলা
ঘামে	ঘামা
ঘেমেছে	ঘামা
ঘেমে	ঘামা
ঘামায়	ঘামানো
ঘামিয়েছে	ঘামানো
ঘামায়	ঘামানো
ঘুমায়	ঘুমানো
ঘুমিয়েছে	ঘুমানো
ঘুমায়	ঘুমানো
চলে	চলা
চলেছে	চলা
চলে	চলা
চায়	চাওয়া
চেয়েছে	চাওয়া
চেয়ে	চাওয়া
চাখে	চাখা
চেখেছে	চাখা
চেখে	চাখা
চাটে	চাটা
চেটেছে	চাটা
চেটে	চাটা
চাপে	চাপা
চেপেছে	চাপা
চেপে	চাপা
চালায়	চালানো
চালিয়েছে	চালানো
চালায়	চালানো
চেনে	চেনা
চিনেছে	চেনা
চিনে	চেনা
চোষে	চোষা
চুষেছে	চোষা
চুষে	চোষা
ছিটকায়	ছিটকানো
ছিটকিয়েছে	ছিটকানো
ছিটকায়	ছিটকানো
ছোঁয়ে	ছোঁয়া
ছুঁয়েছে	ছোঁয়া
ছুঁয়ে	ছোঁয়া
জাগে	জাগা
জেগেছে	জাগা
জেগে	জাগা
জাগায়	জাগানো
জাগিয়েছে	জাগানো
জাগায়	জাগানো
জানে	জানা
জেনেছে	জানা
জেনে	জানা
ঝরে	ঝরা
ঝরেছে	ঝরা
ঝরে	ঝরা
ঝুলে	ঝুলা
ঝুলেছে	ঝুলা
ঝুলে	ঝুলা
টানে	টানা
টেনেছে	টানা
টেনে	টানা
ডুবে	ডুবা
ডুবেছে	ডুবা
ডুবে	ডুবা
ঢুকায়	ঢুকানো
ঢুকিয়েছে	ঢুকানো
ঢুকায়	ঢুকানো
ঢোকে	ঢোকা
ঢুকেছে	ঢোকা
ঢুকে	ঢোকা
ঢোকায়	ঢোকানো
ঢুকিয়েছে	ঢোকানো
ঢোকায়	ঢোকানো
থাকে	থাকা
থেকেছে	থাকা
থেকে	থাকা
থাকায়	থাকানো
থাকিয়েছে	থাকানো
থাকায়	থাকানো
দাঁড়ায়	দাঁড়ানো
দাঁড়িয়েছে	দাঁড়ানো
দাঁড়ায়	দাঁড়ানো
দেয়	দেওয়া
দিয়েছে	দেওয়া
দিয়ে	দেওয়া
দেখে	দেখা
দেখেছে	দেখা
দেখে	দেখা
দেখায়	দেখানো
দেখিয়েছে	দেখানো
দেখায়	দেখানো
ধরে	ধরা
ধরেছে	ধরা
ধরে	ধরা
ধায়	ধাওয়া
